Şehir	Bölge	Ocak	Şubat	Mart	Nisan	Mayıs	Haziran	Temmuz	Ağustos	Eylül	Ekim	Kasım	Aralık	Ortalama
Adana	Akdeniz	9.4	10.4	13.3	17.3	21.6	25.5	28	28.4	25.8	21.2	15.5	11	18.9
Antalya	Akdeniz	9.9	10.5	12.7	16.2	20.5	25.3	28.4	28.2	24.8	20.1	15.1	11.4	18.6
Burdur	Akdeniz	2.6	3.8	6.8	11.6	16.5	21.2	24.6	24.5	19.9	14.2	8.7	4.3	13.2
Hatay	Akdeniz	8.2	9.9	13.1	17.2	21.2	24.8	27.1	27.7	25.5	20.6	14.2	9.5	18.2
Isparta	Akdeniz	1.8	2.9	5.9	10.7	15.5	20	23.4	23.2	18.6	13	7.6	3.5	12.2
Kahramanmaraş	Akdeniz	4.9	6.5	10.7	15.5	20.3	25.2	28.4	28.5	25.2	19.1	11.7	6.7	16.9
Mersin	Akdeniz	10	10.9	13.6	17.5	21.4	25.2	27.9	28.3	25.6	21	15.8	11.6	19.1
Osmaniye	Akdeniz	8.6	9.9	12.7	17	21.1	25.2	27.9	28.4	25.4	20.5	13.9	9.8	18.4
Ağrı	Doğu Anadolu	-10.6	-9.2	-3.2	6	12.1	16.6	21.1	21.2	16.1	9.1	1.6	-6.6	6.2
Ardahan	Doğu Anadolu	-11.2	-9.9	-3.4	4.6	9.5	13	16.3	16.3	12.3	6.6	-0.2	-7.7	3.8
Bingöl	Doğu Anadolu	-2.4	-1.3	4	10.8	16.3	22.1	26.8	26.4	21.1	14	6.6	0.5	12.1
Bitlis	Doğu Anadolu	-3.1	-2.1	1.7	7.6	13.2	18.5	22.8	22.4	17.6	11.3	4.7	-0.9	9.5
Elazığ	Doğu Anadolu	-1	0.5	5.5	11.9	17.3	23	27.3	27	21.8	14.5	7.3	1.8	13.1
Erzincan	Doğu Anadolu	-3.1	-1.3	3.9	10.7	15.6	20	24	24.1	19.1	12.2	5.5	-0.3	10.9
Erzurum	Doğu Anadolu	-9.1	-7.7	-2.5	5.3	10.7	14.9	19.3	19.5	14.7	8.1	1	-6	5.7
Hakkari	Doğu Anadolu	-4.6	-3.2	2.1	8.2	14.3	20.3	24.9	24.8	20.2	13	5.3	-1.6	10.3
Iğdır	Doğu Anadolu	-3.3	-0.3	6.4	13.3	17.9	22.2	25.9	25.2	20.1	12.8	5.8	-0.4	12.1
Kars	Doğu Anadolu	-10.3	-8.6	-2.1	5.5	10.2	13.9	17.5	17.6	13.4	7.3	0.3	-6.6	4.8
Malatya	Doğu Anadolu	-0.4	1.4	6.7	13	18.1	23.2	27.2	27	22.3	15.4	7.8	2	13.6
Muş	Doğu Anadolu	-7.3	-5.8	1	9.2	15	20.4	25.4	25.4	20.1	12.7	4.6	-2.9	9.8
Şırnak	Doğu Anadolu	1.9	3.1	7	12.1	17.7	24.21	28.5	28.3	23.6	16.6	8.9	4.1	14.7
Tunceli	Doğu Anadolu	-1.8	-0.1	5.7	12	17.1	22.7	27.3	26.9	21.6	14.6	6.9	1.1	12.8
Van	Doğu Anadolu	-3.4	-2.8	1.3	7.6	13.1	18.2	22.3	22	17.3	10.8	4.4	-0.8	9.2
